modGenes	module	colourRGB
ENSBTAG00000008188	green	#00FF00
ENSBTAG00000008190	turquoise	#40E0D0
ENSBTAG00000008195	turquoise	#40E0D0
ENSBTAG00000008204	blue	#0000FF
ENSBTAG00000008213	magenta	#FF00FF
ENSBTAG00000008216	turquoise	#40E0D0
ENSBTAG00000008218	magenta	#FF00FF
ENSBTAG00000008219	turquoise	#40E0D0
ENSBTAG00000008223	turquoise	#40E0D0
ENSBTAG00000008224	darkgreen	#006400
ENSBTAG00000008228	blue	#0000FF
ENSBTAG00000008241	turquoise	#40E0D0
ENSBTAG00000008243	magenta	#FF00FF
ENSBTAG00000008248	red	#FF0000
ENSBTAG00000008251	black	#000000
ENSBTAG00000008255	red	#FF0000
ENSBTAG00000008267	brown	#A52A2A
ENSBTAG00000008269	salmon	#FA8072
ENSBTAG00000008283	darkorange	#FF8C00
ENSBTAG00000008285	blue	#0000FF
ENSBTAG00000008287	greenyellow	#ADFF2F
ENSBTAG00000008288	turquoise	#40E0D0
ENSBTAG00000008289	brown	#A52A2A
ENSBTAG00000008292	pink	#FFC0CB
ENSBTAG00000008293	purple	#A020F0
ENSBTAG00000008296	tan	#D2B48C
ENSBTAG00000008299	blue	#0000FF
ENSBTAG00000008302	green	#00FF00
ENSBTAG00000008306	brown	#A52A2A
ENSBTAG00000008314	pink	#FFC0CB
ENSBTAG00000008321	purple	#A020F0
