modGenes	module	colourRGB
ENSBTAG00000011074	brown	#A52A2A
ENSBTAG00000011075	turquoise	#40E0D0
ENSBTAG00000011079	turquoise	#40E0D0
ENSBTAG00000011081	brown	#A52A2A
ENSBTAG00000011083	blue	#0000FF
ENSBTAG00000011087	magenta	#FF00FF
ENSBTAG00000011088	brown	#A52A2A
ENSBTAG00000011096	green	#00FF00
ENSBTAG00000011100	turquoise	#40E0D0
ENSBTAG00000011102	brown	#A52A2A
ENSBTAG00000011103	turquoise	#40E0D0
ENSBTAG00000011104	white	#FFFFFF
ENSBTAG00000011105	midnightblue	#191970
ENSBTAG00000011108	blue	#0000FF
ENSBTAG00000011111	turquoise	#40E0D0
ENSBTAG00000011112	turquoise	#40E0D0
ENSBTAG00000011125	brown	#A52A2A
ENSBTAG00000011126	darkgreen	#006400
ENSBTAG00000011127	blue	#0000FF
ENSBTAG00000011129	turquoise	#40E0D0
ENSBTAG00000011133	blue	#0000FF
ENSBTAG00000011140	blue	#0000FF
ENSBTAG00000011143	purple	#A020F0
ENSBTAG00000011147	tan	#D2B48C
ENSBTAG00000011150	turquoise	#40E0D0
ENSBTAG00000011155	darkgrey	#A9A9A9
ENSBTAG00000011156	green	#00FF00
ENSBTAG00000011163	red	#FF0000
ENSBTAG00000011170	blue	#0000FF
ENSBTAG00000011172	green	#00FF00
ENSBTAG00000011173	red	#FF0000
ENSBTAG00000011176	brown	#A52A2A
ENSBTAG00000011179	pink	#FFC0CB
ENSBTAG00000011180	brown	#A52A2A
ENSBTAG00000011189	turquoise	#40E0D0
ENSBTAG00000011197	yellow	#FFFF00
ENSBTAG00000011198	purple	#A020F0
ENSBTAG00000011200	darkgrey	#A9A9A9
ENSBTAG00000011202	brown	#A52A2A
ENSBTAG00000011206	tan	#D2B48C
ENSBTAG00000011212	brown	#A52A2A
ENSBTAG00000011214	blue	#0000FF
ENSBTAG00000011215	brown	#A52A2A
ENSBTAG00000011217	turquoise	#40E0D0
ENSBTAG00000011225	turquoise	#40E0D0
ENSBTAG00000011226	blue	#0000FF
ENSBTAG00000011234	purple	#A020F0
ENSBTAG00000011236	turquoise	#40E0D0
ENSBTAG00000011238	darkgreen	#006400
ENSBTAG00000011239	pink	#FFC0CB
ENSBTAG00000011243	blue	#0000FF
ENSBTAG00000011244	green	#00FF00
ENSBTAG00000011245	turquoise	#40E0D0
ENSBTAG00000011247	brown	#A52A2A
ENSBTAG00000011248	black	#000000
ENSBTAG00000011249	green	#00FF00
ENSBTAG00000011250	brown	#A52A2A
ENSBTAG00000011252	tan	#D2B48C
ENSBTAG00000011257	greenyellow	#ADFF2F
ENSBTAG00000011258	turquoise	#40E0D0
ENSBTAG00000011268	yellow	#FFFF00
ENSBTAG00000011284	turquoise	#40E0D0
ENSBTAG00000011285	greenyellow	#ADFF2F
ENSBTAG00000011287	magenta	#FF00FF
ENSBTAG00000011304	black	#000000
ENSBTAG00000011307	turquoise	#40E0D0
ENSBTAG00000011311	pink	#FFC0CB
ENSBTAG00000011313	magenta	#FF00FF
ENSBTAG00000011317	turquoise	#40E0D0
ENSBTAG00000011319	purple	#A020F0
ENSBTAG00000011321	turquoise	#40E0D0
ENSBTAG00000011322	greenyellow	#ADFF2F
ENSBTAG00000011325	turquoise	#40E0D0
ENSBTAG00000011333	green	#00FF00
ENSBTAG00000011334	yellow	#FFFF00
ENSBTAG00000011337	turquoise	#40E0D0
ENSBTAG00000011339	pink	#FFC0CB
ENSBTAG00000011340	green	#00FF00
ENSBTAG00000011343	turquoise	#40E0D0
ENSBTAG00000011344	turquoise	#40E0D0
ENSBTAG00000011345	black	#000000
ENSBTAG00000011349	blue	#0000FF
ENSBTAG00000011350	blue	#0000FF
ENSBTAG00000011352	blue	#0000FF
ENSBTAG00000011354	turquoise	#40E0D0
ENSBTAG00000011356	lightyellow	#FFFFE0
ENSBTAG00000011363	turquoise	#40E0D0
ENSBTAG00000011373	green	#00FF00
ENSBTAG00000011383	purple	#A020F0
ENSBTAG00000011384	red	#FF0000
ENSBTAG00000011388	turquoise	#40E0D0
ENSBTAG00000011389	blue	#0000FF
ENSBTAG00000011395	tan	#D2B48C
ENSBTAG00000011396	greenyellow	#ADFF2F
ENSBTAG00000011400	turquoise	#40E0D0
ENSBTAG00000011401	yellow	#FFFF00
ENSBTAG00000011405	blue	#0000FF
ENSBTAG00000011414	turquoise	#40E0D0
ENSBTAG00000011415	purple	#A020F0
ENSBTAG00000011416	turquoise	#40E0D0
ENSBTAG00000011417	white	#FFFFFF
ENSBTAG00000011419	brown	#A52A2A
ENSBTAG00000011420	turquoise	#40E0D0
ENSBTAG00000011424	turquoise	#40E0D0
ENSBTAG00000011425	blue	#0000FF
ENSBTAG00000011431	turquoise	#40E0D0
ENSBTAG00000011435	tan	#D2B48C
ENSBTAG00000011455	turquoise	#40E0D0
ENSBTAG00000011456	midnightblue	#191970
ENSBTAG00000011466	turquoise	#40E0D0
ENSBTAG00000011478	turquoise	#40E0D0
ENSBTAG00000011479	brown	#A52A2A
ENSBTAG00000011480	brown	#A52A2A
ENSBTAG00000011481	brown	#A52A2A
